pub_date,headline,article
25th January 2023,"Gunmen kill Imo APC ward chairman, kidnap others","Gunmen on Tuesday night killed the ward chairman of the All Progressives Congress in Umuchoke ward in Okwe in the Onuimo Local Government of Imo State, Christian Ihim.
The gunmen after killing Ihim, who is popularly known as Zako, kidnapped five other chieftains of the ruling party in the community.
Community sources told our correspondent on Wednesday that the attackers shot repeatedly through the night making the villagers flee.
Apart from killing and kidnapping the APC chieftains, the gunmen also invaded a neighbouring community called Okwelle and also kidnapped a female member of the APC identified as Onyinyechi Egenti.
 
The slain chairman is said to be a former aide of the immediate past national Organising secretary of APC, Emma Ibediro.
One of the sources told The PUNCH that the community has been deserted.
A source said, “The ward chairman of APC in Umuchoke Okwe in Onuimo Local Government Area has been killed. Apart from killing him they also kidnapped five APC members in the community. They also went to the Okwelle community and kidnapped an APC female member known as Onyinyechi Egenti. Our community is on the run now. They shot like it was a war period.”   (adsbygoogle = window.adsbygoogle || []).push({});       Related News   Imo: LP Reps candidate petitions IG over supplementary election  Gunmen kidnap Imo monarch's wife, raze houses of APC, LP chairmen  Gunmen invade Imo LG secretariat, set court ablaze   
Our correspondent recalls that gunmen had on December 15 killed the Labour Party candidate for the Onuimo LGA state House of Assembly election, Christopher Elehu, popularly known as Wasco, after they set ablaze his country home in Okwe community.
Also, gunmen have kidnapped two community leaders in Ogbaku in the Mbaitoli LGA of the state.
The abduction of the two community leaders had put the community in a state of confusion.
The victims were identified as Fidelis Nwaebele and Kelechi Iherizie.
A source in the community who craved anonymity said, “They came around 7 pm. They drove to Fidelis Nwaebele house, released several gunshots and caught him. They later proceeded to Kelechi Iherizie’s shop surrounded him and caught him too.”
When contacted, the Imo State Police Command spokesperson, Henry Okoye, promised to get back to our correspondent after enquiries but was yet to do so as of the time of filing this report. 
The killing came a few days after the Sole Administrator of the Ideato North LGA, Chris Ohizu, was kidnapped and beheaded after his abductors collected N6 million ransom."
25th January 2023,"Hoodlums killed 15 cows, kidnapped herdsman –Miyetti Allah","The South-East leader of the Miyetti Allah Cattle Breeders Association of Nigeria, Alhaji Gidado Siddiki, has alleged that hoodlums on Sunday invaded a ranching settlement in Awba-Ofemili in the Awka North Local Government Area of Anambra State.
Siddiki, who spoke to journalists in Awka on Tuesday, claimed that the hoodlums kidnapped a herdsman, Usman Haruna, and killed 15 cows during the attack.
The Miyetti Allah leader urged the state Commissioner of Police, Echeng Echeng, to deploy operatives to prevent further attacks on his people and their business.
“As it stands now, my people in the area are afraid to go out and report to any nearby security outfit and the attack is ongoing.
 
 Related News   Jega, Miyetti Allah seek solution to farmers-herders conflict  Naira redesign: Miyetti Allah appeals for deadline extension  Miyetti Allah can’t have vigilantes  in Benue – Groups   
“As a body doing business in Anambra and other parts of the South-East, we pledge our unalloyed support to partner the governor and traditional rulers to ensure peaceful coexistence between our members and residents of the state.
“The Miyetti Allah Cattle Breeders Association knows full well that without a safe and secure environment, our business is bound to suffer deplorable losses,” he added.
The state Police Public Relations Officer, DSP Tochukwu Ikenga, said no such report was brought before him.   (adsbygoogle = window.adsbygoogle || []).push({});"
23rd January 2023,"Gunmen kidnap three in Osun, demand N5m","Three persons have been kidnapped by some gunmen in the Iwo of Iwo Local Government Area of Osun State.
The kidnappers were said to have demanded N5 million for their release.
The gunmen who were said to have struck last Friday ambushed their abductees whose names were given by the state police command as Hamzat Ibrahim, Deere Ibrahim and a 38-year-old man, whose name was yet to be identified, according to Tribune.
It was gathered that they were kidnapped in their farmland located in Ologun area of the local government.
 
One of the hunters in the state while speaking with newsmen in Osogbo, said “Those that were kidnapped are Fulani people, they were in the farm when the kidnappers arrived.”  Related News   Osun APP scores Adeleke high after 100 days in office  Census: Ensure error-free exercise, Adeleke advises NPC  #NigeriaElections2023: PDP sweeps senatorial, Reps seats in Osun   
The hunter said the kidnappers had contacted the victim’s family and demanded N5 million ransom.
“They were not the kidnappers’ target, they abducted them when they didn’t meet their main target. Their target is based in the United Kingdom but he has a farm in that area. Maybe they didn’t get the information, although, the parents of those Fulani people are also wealthy.   (adsbygoogle = window.adsbygoogle || []).push({});     
“The kidnappers have contacted the family for ransom but it seems those kidnappers just started the business because they are young people,” he said.
Confirming the incident, the state police spokesperson, Mrs Yemisi Opalola, said the incident was reported by one Hamidat Ibraheem to the police in the state.
She said, “The gunmen abducted Hamzat Ibrahim, Deere Ibrahim and a 38-year-old man. Our officers, hunters and other local security agencies are combing the forest to rescue the victims.”"
22nd January 2023,"Five killed, one kidnapped, as gunmen invade Bauchi community",Gunmen have invaded the Gambar Sabon Layi community in the Tafawa Balewa Local Government Area of Bauchi State and killed no fewer than five people.
21st January 2023,Six kidnapped as gunmen attack Enugu community,"Residents of Ikem community in Isi-Uzo Local Government Area of Enugu State decried the rate of kidnapping in the community as six persons were abducted in one week.
The situation has worsened security matters in the area that is yet to settle from the wanton killings by suspected herdsmen at Eha-Amufu, a neighbouring community.
For three days running, the masked gunmen laid siege to Ikem-Isioroto along Obollo Afor-Nkalagu road and drove the villagers into the bush.
On Monday, January 16, eight masked gunmen attacked five young men including the Chairman of Federated Ikem Improvement Union Enugu branch, Mr Emeka Odoh (aka Asokwa), as they concluded a security meeting in the neighbourhood.
 
Asokwa said he was home from Enugu to join other members of the committee to find ways to strengthen the local security ahead of the coming general elections so as to ensure that people will exercise their franchise in peace.
“As we drove out of the meeting venue, we found four gunmen on the main road brandishing guns.
“I was driving and instinctively reversed the car and behold there was another set of four gunmen behind us.   (adsbygoogle = window.adsbygoogle || []).push({});     
“The gunmen opened fire on us, shattering all the windscreens and the four tires, but I bravely drove through the hail of bullets with flat tires to safety.
“One of us was badly hit by the bullets and was immediately rushed to Enugu where eight bullets were extracted from his body by surgeons. He is still recuperating at the intensive care unit of the hospital,” Asokwa narrated.
Enraged that their prey had escaped, the gunmen kidnapped two commercial motorcycle riders and made their escape through a bush route towards the boundary with Benue State.
As they withdrew they robbed adjoining houses and stole food items and condiments.  Related News   Anger as gunmen kill 35 in Katsina, Kaduna  Gunmen attack Abuja estate, kidnap nine  Gunmen kill village head in Kano    
The villagers narrated that as they were still reeling under the shock, the gunmen returned on Tuesday and kidnapped a native who was home from Enugu and a National Youth Corps Member who is his tenant. They said that no ransom demand has been made yet.
“Thursday night, the gunmen returned for the third time, this time at night, kidnapped three more people and shot one person who confronted them.
“As a result, the villagers all slept in the bush for fear for their lives. Friday night they still slept in the surrounding bushes for fear the gunmen would return,” narrated another native.        
Ikem-Isioroto is a strategic community on the northern border of Ikem. It is bounded by Benue State in the North and the routes to the rich farmlands have become a delight to kidnappers.
Last year three kidnap incidents took place at Ikem and all the hostages were taken out through the same route. The local catechist was the first to be kidnapped, followed by a young man who came back from Italy. The third was a trader on his way to the market.
In each case, a ransom was paid before the victims were released.
Security agencies made some arrests and the suspects are still being investigated.
The suspects include Fulanis and their local collaborators The people are expecting quick prosecution of the suspects to serve as deterrence to others.
A journalist and native of the affected area, Anayochukwu Agbo, said that “The latest attack shows a dangerous trend. The gunmen were masked, unlike in previous kidnaps, suggesting heavier involvement of locals in the attack. The way they sacked the village suggests this could be a test run to what could happen during the coming elections.
 “That is why the security agencies should take this seriously as some paid gunmen have threatened to stop the electorate from voting in the southeast.   (adsbygoogle = window.adsbygoogle || []).push({});     
“Army checkpoint should be approved for the hot spot where the gateway route is located at a place called Ugwuatu.”"
20th January 2023,"Gunmen kidnap Imo LGA boss, burn house","Gunmen in the early hours of Friday kidnapped the Sole Administrator of the Ideato North Local Government Area of Imo State, Chris Ohizu, and two others.
This was after his country home in the Imoko community in Arondizuogu was razed by his attackers.
A source told our correspondent that the council boss was shot before he was whisked away with two others by their attackers.
The source said, “The Sole Administrator of Ideato North was kidnapped last night together with two others after burning his house at Imoko community in Arondizuogu. They shot him on the leg before taking him away. This is a man who came back from a hospital recently. I am devastated now.”
 
Another source who confirmed the development decried the spate of insecurity going on in the area.  Related News   UPDATED: Court remands ex-Imo deputy gov in prison  Police arrest ex-Imo deputy governor  #NigeriaElections2023: PDP expresses worry over Ebonyi, Imo elections   
He said, “The house of Ideato North SOLAD was burnt down and he was kidnapped with a bullet wound on his leg as I heard.
“I have been making this report since last year and early this year till now no single presence of the police anywhere in Arondizuogu and no single arrest. We are now at the mercy of God. ”   (adsbygoogle = window.adsbygoogle || []).push({});     
This came less than a week after the country home of the spokesperson of the Coalition of United Political Parties, Ugochinyere Imo, was attacked at Akokwa community in the Ideato North LGA, with three persons killed and about 33 vehicles razed.
Also, a man who was about to wed was same last week killed with his brother at Arondizuogu in the Ideato North LGA.
When contacted, the spokesperson for the police in the state, Henry Okoye, said he would verify and get back to our correspondent but he had yet to do so as of the time of filing this report."
12th January 2023,Gunmen kidnap DPO in Plateau,"The Divisional Police Officer in charge of Pankshin Division, Pankshin Local Government Area of Plateau State, has been kidnapped by gunmen, The PUNCH learnt on Thursday."
12th January 2023,"Kidnappers abduct Osun farmers, demand N10m ransom","Two farmers, Samuel Oladotun and Fashola Tobiloba, have been abducted by some yet-to-be-identified kidnappers in Ileogbo, Osun State."
9th January 2023,Edo Customary Court president kidnapped,"The President of Igueben Area Customary Court, Mrs Precious Aigbonoga, was kidnapped on Monday morning in Ugoneki, on her way to court in Igueben Local Government Area, Edo State.
In a press release by the Nigeria Bar Association Publicity Secretary, Festus Usiobaifo, he said the NBA was working closely with the Edo State Police Command to ensure Aigbonoga regained her freedom from the kidnappers.
The statement read, “The President of Igueben Area Customary Court, Mrs Precious Aigbonoga, was kidnapped on Monday morning around Ugoneki area, on her way to court in Igueben Local Government Area, Edo State.
“She is the wife of our colleague, Mr. Afebu Aigbonoga, the Peoples Democratic Party candidate, Etsako West Constituency 1.
 
 Related News   NLC affiliate unions protest Edo council election result  Court orders INEC to recognise Igbinigie as LP candidate  Obaseki, Oshiomhole disagree over alleged impeachment of Edo gov   
“The Chairman of the Lion Bar, Chief Nosa Edo-Osagie, is deeply saddened by this news and condemns, in strong terms, the worrisome insensitivity of these bandits in kidnapping Mrs. Precious Aigbonoga; an easygoing, gentle, and hardworking judicial officer.
“The executive of the NBA is in close touch with the Commissioner of Police, Mohammed Dankwara. By the grace of God Almighty, His Honour shall be rescued unhurt, and the bandits brought to book, Amen.
“Let us keep His Honour in our prayers, please,” the statement added.   (adsbygoogle = window.adsbygoogle || []).push({});"
7th January 2023,"69 killed, 152 kidnapped in FCT in 2022","Over 69 persons were killed and 194 abducted during 194 attacks carried out by bandits and other criminals in the Federal Capital Territory in 2022.
This is just as the FCT administration has promised to improve security for the safety of lives and property in the new year.
Data sourced from media reports and a leading indigenous intelligence outfit, Beacon Consulting, revealed that a total of 194 security breaches were witnessed in all the six area councils of the FCT.
On December 6, 2022, seven persons including an ex-corps member and a pastor were kidnapped, while two males were killed during an attack by bandits in the Kubwa area of the FCT.
 
On October 12, gunmen abducted a male resident in Maitama and killed one person. Six days before the attack, bandits attacked the Abaji area of the FCT, killed a federal government employee, and fled with his body.
In June of the same year, a herdsman was abducted by gunmen in the Kwali area of Abuja. On April 20, bandits abducted four family members in the Kuje area of the FCT.  Related News   Two arrested while kidnapping FCT women  Suspected FCT kidnap syndicate busted, AK-47 rifles recovered  Police arrest four suspected kidnappers in Abuja   
 In February, an Abuja prince was kidnapped in Kuje, following the abduction of a 12-year-old girl in the same area on February 1.   (adsbygoogle = window.adsbygoogle || []).push({});     
 Our correspondent could not reach the FCT Police Public Relations Officer, Josephine Adeh, as of press time, as she said she was busy.
But reacting to the reports in an interview with our correspondent, the Chief Press Secretary, Federal Capital Territory Administration, Anthony Ogunleye, among other things, noted that the security situation in the FCT had improved in recent times.
Ogunleye said, “The issue of insecurity has reduced in the FCTA in recent times. The police and other security agencies are working hard, and the administration and the Minister have done so much to support them.
“The FCTA is doing so much. These bandits usually come from bordering states and they go back. If you noticed, the attacks usually occur in the outskirts bordering other states. However, there’s the inter-agency security committee that works in tandem with security outfits of bordering states, and they’ve been doing so much to dislodge bandits and kidnappers.”"
6th January 2023,"Son kidnaps father, collects N2.5m ransom","The Kwara State Police Command has arrested a suspect identified as Issa Naigheti who allegedly kidnapped his father, Bature Naigboho, in Igboho in Orelope Local Government Area of Oyo State and got a ransom of N2.5 million before his release."
4th January 2023,"Facebook scammers rape, kidnap victims in Delta","The Delta State Police Command has arrested three suspects; Cornelius Ememah, Nelson Aghogho and Ufuoma Tunde, for allegedly kidnapping, raping, and scamming victims they met via Facebook at Ufuoma in Ughelli North, Delta State."
