Pidgin Tweets,Sentiment
happy baiday to rudi voeller! 🇩🇪 befor befor sabi player wey dey our hall of fame. hin turn 59 today! ️,negative
last home game of the season today - let’s do it in style!,negative
captain daniele de rossi has earned a spot in this week’s ! have you added him to your squ…,negative
all man go fit watch thursday match live for twitter!,negative
totti don show show again for ‘night for kings’... no dull am!,negative
,negative
51' ranieri nid do hin first sub sharpaly has karsdorp don wounjur.,negative
second half don start! daje roma!,negative
24' beta goalie keeper! mirante do odeshi for shot wey defrel fire from outside 18. 0-0,negative
who you think say go first tear net for dis night? screenshot &amp; reply!,negative
"ranieri: ""i dey hope say as dem don waya us recently e go make us shine eye play beta 2moro. fiorentina sabi tap long ball, so we go need make sure say we no give dem chance to attack.""",negative
full time for olimpico. napoli kolobi di 3 points 4-1,negative
see as evribodi take look like say dem innocent. di kain fight fight wey go follow no be hia...,negative
"all epic stories start somewhere... in 1993, francesco made his debut for ...",negative
when roma pidgin admin wake up late for matchday 🤦‍,negative
"| in 2010... claudio ranieri was in the dugout as pulled out a vital win against inter, courtesy of luca…",negative
"admin wetin be your address make i dash you better orijo alarm clock? e no dey off, get natural bluetooth + ampl…",negative
na di only one wey nike do be dat. no oda one dey.,negative
when roma admin’s gran brings her english friends to the game,negative
lagos always dey tugbaski.,negative
"no, sir. na new york be yankee, but wetin we kuku know for hia about pidgin? 🤷",negative
naija dey kpef dem! 🇳🇬,negative
"america, no dull am! we go jam again 🇺🇸️",negative
n a i j a ! dey una back % dem. go. hear. am.,negative
when you wan go play club football but international break dey hold you,negative
"match dkn start for ferrara! oya, roma! make we kpuf dem!!! [wit",negative
roma admin dey road right now dey go spal for our away match if you see am for road just holla!,negative
dat one no be waec nah. take it!,negative
79' referee give skippo florenzi second yellow com show am red card to waka comot for pitch. 2-1,negative
make we boys dem calm down and cool dem game. empoli go chop goals today.,negative
"and director of football monchi don agree say dem wan waka leave dem sef. monchi: ""i go like thank presido pallotta, all of di oga boss for di club, plus staff, players &amp; fans dem as dem support me for my time for dis club."" full tori ️",negative
"davide astori, always dey inside our heart ️",negative
oya! block us back.,negative
pdp supporters dey protest against supreme court judgement for abuja,negative
abule egba fire outbreak: wetin we know about nnpc pipelineelosion wey burn parts of lagos,negative
ihedioha: pdp members dey protest for owerri afta court comot former govnor,negative
harry and meghan go lose dia royal titles,negative
cpj di worry about cameroon journalist wazizi and oda african journalists for jail,negative
a fall from grace: pipo say tyler perry feem dey portray black women as 'unhappy',negative
ifeanyi ubah: court no gree do u-turn ontop ubah sack as senator,negative
"meet michael iloduma di man wey dey wear suite to sell water (corporate water seller). di man graduate from college for 2013, and e dey hawk water corporately for lagos, im get official hours too sef.",negative
"national grid collapse, wetin cause nationwide blackout just two weeks into 2020",negative
eminem drop surprise album 'music to be murdered by',negative
"pdp want cjn to comot hand from dia remaining govnorship cases afta supreme court judgement wey sack emeka ihedioha, confam hope uzodinma as govnor of imo state.",negative
"nigeria opposition party, want di chief justice of nigeria, justice tanko muhammad to step down from di remaining judgement wey concern pdp govnors. pdp national chairman uche secondus dey react to supreme court judgement wey sack dia party man emeka ihedioha.",negative
human rights watch accuse cameroon goment and separatist forces of rights abuses,negative
i still get bullet for my neck 50 years afta di civil war' di 77 years old retired soldier wey carry bullet for neck 50 years after di biafra war.,negative
cameroon fa don change di date for di 2021 africa cup of nations,negative
"dis nigerian old sojas say ""life after retirement no easy""",negative
harry and meghan: royals wey don leave palace to live dia own life,negative
"prophet michael oluronbi wey for form im own cherubim and seraphim for birmingham, united kingdom tell some of im victims say dem go fail exams or turn to witch if dem no gree make e sleep wit dem.",negative
cameroon dey on alert afta monkeypox kill pikin for ayos-centre region - see signs/symptoms for di deadly disease,negative
cameroon student stab teacher to death for school',negative
gunmen want 'n50 million' ransom to release kano chief,negative
iran say no be intention dem use shoot down ukrainian jetliner - see how world pipo including uk prime minster take react now iranian protesters tanda for tehran dey chant.,negative
"iran military say dem ""make mistake"" shoot down ukrainian plane. 176 pipo die for di crash wey happun on wednesday.",negative
chukwuemeka ike wey write the bottled leopard don die - dis na list of oda tins to take remember di writer,negative
goment authorities go relocate dis coffin sellers go graveyard if dem fail to relocate by march dis year.,negative
eight times wey dem shoot down passenger planes.,negative
"togo national football team attack: survivors remember machine gun ambush, 10 years afta",negative
singer justin bieber just reveal say im get lyme disease. enta dis link to learn more about dis disease wey no get cure,negative
"inside liife - di oda day na runsewe against bobrisky, today na court against runsewe. abuja court don sentence go prison olusegun runsewe, di director general of di national council for arts and culture (ncac), until im change im ways.",negative
meghan and harry wan step back: wetin e mean for di royal family?,negative
1st: america kill iran general qassem soleimani 2nd: iran fire us troops missile as do me i do you attack 3rd: donald trump say america ready to make peace now: how you see di mata?,negative
how kano residents dey battle with cold weather,negative
ukrainian passenger plane wey carry 180 pipo don crash for iran,negative
iran target us troops with ballistic missiles.,negative
efcc oga ibrahim magu say dis na di highest convictions dem don get since di commission start.,negative
"reynhard sinaga, di man wey 'rape ova 100 men' go spend im life for prison.",negative
first british pesin to travel go space say aliens exist and dem fit dey here on earth,negative
"kenya pastor stab im wife, kill imsef during sunday service",negative
"pipo die, odas injure for kaduna gas elosion for sabo tasha area of di state.",negative
gunmen attack kogi community kill 19,negative
wetin you suppose sabi about saraki ile arugbo wey goment demolish for kwara state.,negative
marvel wan tear rubber dia first transgender superhero,negative
police arrest di 'brain' behind di abuja bank robbery,negative
smokers weda past or present dey 'live in more pain',negative
customer service staff tok how im take help abuja bank robbers,negative
"di suspects go spend di new year for prison as dia next date to reappear for court na january 9, 2020.",negative
authorities don confam two more deaths for australia fires,negative
whatsapp no go work for some phone from tomorrow. check weda your phone dey inside,negative
"""wetin i dey do no be for her because notin go bring am back."" papa of moradeun balogun, wey die sake of stab wound wey hospital no gree treat, tok on why im dey against di practice of police report before dem treat stab or gun wound.",negative
wife of di redeemed pastor wey drown wit two pikin for costa del sol say dem sabi swim,negative
"buhari condemn 'beheading of christian hostages' for nigeria, call for unity",negative
"from di tori of man wey rob bank begin spray di money for air to bbnaija 2019 engagement tori, dis na we new episode of wetin trending. which story totori you pass for inside?",negative
airport security arrest man wey wan follow air peace plane go 'abroad',negative
bek air plane don crash near almaty airport for kazakhstan,negative
"redeemed pastor, two children drown during holiday for spain",negative
kano hisbah go begin seize keke wey carry man and woman as passengers goment,negative
merry christmas' man rob bank finish begin spray di moni,negative
cameroon president paul biya don sign language and special status to laws,negative
zambia bin sama di gay couple 15 years prison sentence afta dem catch di two men dey do kerewa. but di us ambassador for zambia say di sentence no gel.,negative
"indonesia bus fall inside river, kill 26. pipo",negative
garba shehu gbas gbos with femi falana ontop buhari 'third term plan',negative
ondo state goment don carry sotitobire miracle church pastor go court ontop kidnap accuse.,negative
nigeria goment don reject united state of america report wey say religion freedom no dey di kontri.,negative
one research show say polycystic ovary syndrome dey affect about 18% of women for nigeria.,negative
french presido emmanuel macron don announce say eight west african kontries wey dey use cfa franc as moni go begin use eco as di new currency starting from year 2020.,negative
"upstairs house na like gold, sotay, e dey very common to see price difference between house wey dey upstairs and di one wey dey downstairs even if di two apartments get exactly di same tins inside.",negative
"nigeria corruption police efcc don arrest one yahoo-yahoo boy wey dey pose as central bank of nigeria governor, godwin emefiele to play pipo wayo.",negative
"di two nigerian students, alexandro abia and kenneth eboh, wey dem bin wrongfully deport from croatia go bosnia don land enter back nigeria.",negative
yaya toure say 'fans no get sense like before' na im make racism worse,negative
kano state goment say dem don receive letter to comot emir sanusi from throne.,negative
efcc arrest former attorney-general of nigeria mohammed adoke,negative
arsenal midfielder no dey pro evolution soccer 2020 for china,negative
“for burn ma house na for stop me or elections? - mayor for kumbo,negative
i-no-go-gree pipo don burn wia dem tiff pikin for akure,negative
,negative
di bill no pass second reading for nigeria house of representatives,negative
"but wen grace land dem carry her strain go one brothel wey one woman (goldie) wey dey run di place tell her say she need to repay $3800, 7 times of di ticket money to india. as dem hold her passport &amp; tourist visa dey eire, grace dey trapped for delhi.",negative
"e no tey afta dat tori go out, grace see post for one whatsapp group, wey promise to pay plenty money for work as hostess and dancer for india. “you go make beta money” dem tell her. small time she arrange passport &amp; ticket to new delhi wit hope say she go fit support family",negative
thread dis na grace. one year ago she bin dey trapped for one brothel (place wia pipo dey go pay for se wia one organised network of pimps and madam dem wen don traffic plenty african women go india force her to do sex work.,negative
"di thief pipo no leave any jewelry for di woman, dem carry everything.",negative
the first temptation of christ: why dis netflix feem dey make pipo vex,negative
choi. dis dragging no be hia.,negative
"police confam say dem arrest 'port harcourt first son', duncan mighty",negative
why pipo for overseas see friday the 13th as bad-luck day,negative
bride fall inside well day before her marriage,negative
three patients die afta pakistan lawyers and doctors face each oda.,negative
"no vex o, na big mistake from we side, we bin don correct am for facebook, see di link hia",negative
"if you get moni for your pocket and 'nepa' ️ still dey do you shakara wit dia national grid, read dis story",negative
inflation dey rise for ghana despite new consumer price index wey central bank introduce,negative
president buhari choice of adamu as new oga of amcon to replace banire dey make nigerians kwesion di 'northern' agenda.,negative
"""one of dem na electrician inside dat estate wey invite im friend to come join am rob di man."" gildas tohouo tohouo and im wife suffer deadly attack from dia domestic staff for dia domot inside ikoyi, lagos - police",negative
port harcourt hotel serial killing main suspect register as military man with false name’,negative
anthony joshua: i 'do operation' before andy ruiz fight,negative
evangelist reinhard bonnke don die,negative
see wen nigeria secret police dss finally re-arrest and move omoyele sowere from court today like 'commando feem'. [sowore dey inside di black lexus suv wit im lawyer] full tori : jide oyekunle (tori pesin wey dey inside court),negative
dis na di moment wen security first try to arrest sowore right inside court today. full tori : jide oyekunle (tori pesin wey dey inside court),negative
see how secret police re-arrest sowore today.,negative
"orji uzor kalu get 12 years for prison, four oda govnors wey chop sentence.",negative
see wetin cause di nnpc pipeline fire elosion wey kill pipo for lagos on thursday,negative
"""2023 here we come"" na wetin orji uzor kalu, di abia state senator tell bbc for court afta justice mohammed idris pass judgement to jail am.",negative
"breaking... nnpc pipeline elosion for igando area of lagos, wey be nigeria commercial capital. tori be say di elosion happun for near gloryland estate along isheri/lasu-igando road. : anifowose - (ikotun)",negative
uk patient wey travel go nigeria 'catch' monkeypox,negative
"man united v tottenham, who var help? why wenger, odas get kwanta wit am.",negative
"""bamenda university campus quiet laik burial ground""",negative
full tori of how nigerian police declare lawyer to ipob leader ifeanyi ejiofor wanted for oraifite killings,negative
how my 'father' rape me for seven years’ di full tori dey here,negative
35 year-old sani ibrahim tok about im wish and regret as di world dey celebrate disability day.,negative
"oghene! who else fit relate? okamoto call dem 24,000 times in eight days to show im frustrations.",negative
cameroon separatists di claim responsibility for camair-co attack.,negative
e no easy for cameroon mami for tell pikin say e born e wit hiv',negative
"di cryptoqueen wey scam di world, come disappear.",negative
dino melaye don reject di victory of apc smart adeyemi for di kogi west senatorial rerun election.,negative
"court don sama 20 years prison sentence to di president of surinme, desi bouterse on top accuse say im kill 15 political opponents in 1982.",negative
london bridge don put met police for 'terror alert',negative
london bridge dey block sake of kasala wey dey happun now - police,negative
arsenal don sack unai emery,negative
port harcourt building collapse: ‘i still dey get nightmare of wen i trap inside’ - survivor,negative
netflix 'reactivate' pipo accounts without permission,negative
"ontop frsc and google maps mata wey dey make pipo para, don yan.",negative
nigeria goment admit say di border closure exercise don make food cost for di kontri.,negative
"you see any end for crisis?🇨🇲 since di start for 2016, about 600,000 pikin dem komot for school &amp; more than 500,000 pipo no fit live for di speaking of",negative
why death of sojas for dey pain of,negative
twitter wan begin shutdown accounts wey no active,negative
gridco say excess power supply cause nationwide dumsor,negative
hear wole soyinka di nobel prize winner tori about him journey wit prostate cancer. di full video dey hia,negative
futa don eel six students wey 'panel beat' dia fellow student,negative
"if you catch your brother or sister or even your mama or papa sex offender wetin you go do? for example say di pesin dey do , traffiking or even . abeg tok true o!",negative
cameroon opposition crm say deh go boycott parliamentary and council election race,negative
"‘once domestic violence dey, wey pesin go slap your eye wey you see dark for one eye and white for di oda eye...evacuate!' full video: &amp; drop word ontop",negative
efcc: court don order mompha to remain for prison,negative
"alledge n33bn money laundering: arraign suspected internet fraudster, ismaila mustapha, a.k.a. mompha for federal high court dis morning.",negative
tori pipo for kenya dey report say like 40 pipo don die afta heavy rain for di kontri.,negative
governor ganduje of kano don reject di court judgement wey sack im four new emirs.,negative
"bayelsa election: apc, lyon use jonathan to cover dia rigging - dickson",negative
thugs burn woman leader alive - dis na wetin we sabi,negative
olusegun aroke aka h-money organise $1m fraud from prison - efcc,negative
stop di stigma: make pipo start to dey get mind to tok. pesin wey dey struggle wit dia mental health no suppose dey feel shame. ً,negative
"[thread] to all our male fans we salute una . for plenti kontris for di world plus west africa, men dey 3 times pass women to do suicide... here be some tips to tackle am... (: getty images)",negative
"western togoland: ghana be sovereign state, dawg ‘western togoland’ separatist claims – government",negative
"""anarchy don enta dis democracy... dem dey rape democracy!"" - douye diri, bayelsa state pdp govnorship candidate. reply candidate inside here",negative
ghana medical association suspend dema planned strike action,negative
natasha akpoti don reject kogi state govnorship election results say make inec kia kia cancel evritin. see her reasons here,negative
"result of kogi election: eu confam violence for kogi, refuse to declare elections dey 'free and fair'",negative
eu foreign observers say na kill kill &amp; tiff tiff of ballot box boku inside &amp;,negative
futa don suspend students wey panel beat female student inside viral video,negative
former nigeria president goodluck jonathan say voting for him ward start late,negative
"ghana: to cook meat, beans wit paracetamol na death be dat - health authority",negative
[as e dey hot]: for di only female govnorship candidate no fit vote for her ward as she claim say members of apc beat her sdp party agents and scata her polling unit for obeida ward 1. for more updates:,negative
updates from - election don start for unit 5 ward 8 imiringi ogbia lga - for otuoke materials neva reach polling units - election staff tanda to collect materials for more,negative
bayelsa election: court rule say apc no get governorship candidate for bayelsa state,negative
kogi governorship election 2019: natasha akpoti say dis one no be election again na war dey happun,negative
bayelsa 2019 governorship election update: at least two pipo die for nembe. violence burst out for many campaign ground just two days to di november 16 vote..,negative
atewa forest 🇬🇭 don gain international recognition but for de wrong reason. na oscar award-winning actor den environmental activist.,negative
apc national chairman adams oshiomhole don chop suspension,negative
omoyele sowore don spend 100 days inside nigeria secret police net wit no hope of freedom,negative
world pneumonia day: nigeria get di highest number of children wey don die - unicef,negative
"plenti just dey admire am wen dem dey traffic for abuja, dem no know anytin about di building",negative
"morales, mugabe, al-bashir, odas wey military remove sake of mass",negative
bolivian president evo morales don resign afta army abandon am,negative
"one popular russian history professor don confess say im kill him lover wey be im former student, according to im lawyer.",negative
"di director general of di national youth service corp, brigadier shuaibu ibrahim, tell bbc pidgin say, authorities fit to look di oda way if female corpers wear oversize uniform sake dem feel say di khaki trouser dey show dia shape.",negative
nigeria border closure: how ban on petrol supply dey affect pipo wey dey live near border,negative
french official drug over 200 women make e for watch dem dey urinate,negative
"nigeria secret police dss say nobody show to collect activist omoyele sowore, deji adeyanju volunteer",negative
": lagos power companies confam blackout for light, dey trend",negative
"breaking:fire dey burn for okobaba plank market, ebute metta - lagos dis area wey di fire start on friday afternoon na di largest wood market inside west africa. : mainland security. enta for update",negative
nigeria police gbab man wey kill pesin wey flash am wit okada light,negative
sowore still dey custody afta dss receive court warrant,negative
welcome to nigeria where public officers dey carry sickness appear for court,negative
bad roads make nigerians provoke for fashola,negative
"protesters for bolivia gada beat her, shave her hair, drag her for road come force patrice arce to resign.",negative
breaking: dr rebel leder bosco ntaganda dey go prison for 30 years,negative
cotonou son and father wey dey cry to leave ‘ ’,negative
why south koreans dey bury pipo wey neva die,negative
balogun market fire: policeman die for lagos island market fire,negative
commercial banks run out of banknotes (money) for liberia,negative
"lionheart film chop disqualify for ""too much english"", see six oda oscar don snub",negative
di village for niger state wia pipo di chop attack sake of no security,negative
nigeria vs netherlands: golden eaglets lose 3-1 for round of 16,negative
chinese chop ban ontop foto wit,negative
"we still dey chook to dey give una update on di balogun market fire, but for gist, read di one:",negative
see extra foto our tori pesin andrew gift take of di fire wey burn for one of di big markets for lagos island.,negative
"as tori comot say di fire dey scata for inside one tall building near mandillas for balogun market, na so pipo try to quench di fire wit dia own water.",negative
"balogun market for lagos island, nigeria - dis na wetin we know so far. thread",negative
nigeria army don promise to arrest and punish any of dia staff wey get hand for unprofessional behavior or extrajudicial actions.,negative
food company mcdonald don sack dia chief executive steve easterbrook afta im enta relationship with one of im worker.,negative
maritime workers union of nigeria rivers state chapter don begin three day warning strike to protest di plenti sea pirates attacks wey dey happun along waterways for di state.,negative
police don rescue 225 pipo from one 'torture house' for oyo state south west of di kontri.,negative
why oscars disqualify genevieve nnaji lionheart film,negative
everton midfielder andre gomes go do operation on monday afta im get serious ankle injury.,negative
"buhari approve nigeria border closure till january 31, 2020",negative
ghana-nigeria hold crunch meeting ontop border closure extension mata,negative
"boko haram torture video, nigeria army go deal wit soldier wey abuse human right",negative
"nigeria president muhammadu buhari don approve make dem extend di closure of land borders for di kontri till january 31, 2020.",negative
meet di artist wey say im artwork dey represent di 'gods',negative
see di mental health portraits wey win top prize for art x lagos,negative
trump yab beto o'rourke say im 'quit like dog',negative
meet di artist wey say im artwork dey represent di ‘gods’ di 59 year old artist na trained architect wey start to dey paint wen him travel go brazil for 2007. e don turn painting to full time job and im dey use acrylic on plywood.,negative
solange knowles beyonce sister don separate from her husband,negative
lagos building collapse two storey building don collapse for ikoyi,negative
see wetin cause di deadly floods wey happun for africa in october,negative
di undercover investigate wey bbc news arabic do show say dem dey buy some house helps illegally come sell dem online for correct black market through apps wey dey google play and apple app stores. see full video hear,negative
meet cameroon pikin awa blaise chi weh e no bi fit go school for seka anglophone crisis follow e uncle go douala for continue school and one day make real helicopter,negative
rights abuse make america stop business wit cameroon,negative
